iter	Passed	Remaining
397	51189	66238
398	51335	66131
399	51446	65980
400	51551	65821
401	51666	65674
402	51777	65525
403	51881	65365
404	51991	65214
405	52105	65068
406	52237	64944
407	52348	64794
408	52468	64655
409	52589	64518
410	52700	64369
411	52810	64219
412	52934	64085
413	53031	63919
414	53144	63773
415	53262	63633
416	53375	63486
417	53482	63335
418	53606	63202
419	53718	63055
420	53823	62900
421	53931	62749
422	54046	62606
423	54160	62463
424	54272	62317
425	54387	62175
426	54496	62026
427	54610	61883
428	54714	61729
429	54823	61580
430	54937	61438
431	55045	61289
432	55155	61142
433	55270	61000
434	55379	60853
435	55488	60706
436	55600	60562
437	55708	60414
438	55817	60267
439	55925	60120
440	56031	59970
441	56142	59825
442	56250	59679
443	56362	59536
444	56470	59389
445	56581	59246
446	56693	59103
447	56818	58974
448	56930	58832
449	57035	58682
450	57151	58545
451	57257	58398
452	57370	58257
453	57487	58121
454	57591	57971
455	57709	57835
456	57813	57686
457	57916	57536
458	58032	57400
459	58137	57253
460	58241	57104
461	58362	56973
462	58470	56828
463	58598	56704
464	58721	56575
465	58832	56433
466	58934	56283
467	59069	56166
468	59192	56037
469	59298	55892
470	59401	55744
471	59506	55598
472	59611	55452
473	59721	55312
474	59828	55168
475	59930	55020
476	60035	54875
477	60141	54730
478	60250	54590
479	60352	54442
480	60458	54299
481	60560	54152
482	60682	54023
483	60785	53877
484	60890	53734
485	61000	53594
486	61110	53456
487	61221	53317
488	61336	53183
489	61452	53049
490	61560	52909
491	61670	52770
492	61774	52627
493	61878	52483
494	61985	52343
495	62087	52198
496	62215	52075
497	62333	51944
498	62449	51812
499	62563	51677
500	62668	51535
501	62782	51401
502	62884	51257
503	63004	51128
504	63107	50986
505	63217	50848
506	63318	50705
507	63429	50568
508	63547	50438
509	63654	50299
510	63756	50156
511	63858	50013
512	63966	49876
513	64080	49743
514	64196	49611
515	64302	49472
516	64408	49334
517	64514	49195
518	64628	49062
519	64725	48917
520	64823	48772
521	64928	48633
522	65057	48513
523	65159	48372
524	65263	48232
525	65362	48089
526	65464	47949
527	65586	47823
528	65694	47687
529	65781	47536
530	65868	47385
531	65982	47254
532	66100	47125
533	66216	46996
534	66329	46864
535	66474	46755
536	66585	46621
537	66701	46492
538	66813	46360
539	66925	46228
540	67074	46121
